"Date","Maximum Temperature degrees (F)","Minimum Temperature degrees (F)","Precipitation (inches)","Snow (inches)","Snow Depth (inches)"
"2016-05-17","63.0","42.0","0.00","0.00","0.00"
"2016-05-18","63.0","39.0","0.00","0.00","0.00"
"2016-05-19","68.0","46.0","0.00","0.00","0.00"
"2016-05-20","72.0","51.0","0.00","0.00","0.00"
"2016-05-21","74.0","49.0","0.00","0.00","0.00"
"2016-05-22","78.0","52.0","0.00","0.00","0.00"
"2016-05-23","83.0","62.0","0.00","0.00","0.00"
"2016-05-24","81.0","63.0","0.03","0.00","0.00"
"2016-05-25","83.0","63.0","0.00","0.00","0.00"
"2016-05-26","73.0","60.0","0.62","0.00","0.00"
"2016-05-27","78.0","62.0","0.00","0.00","0.00"
"2016-05-28","66.0","59.0","0.25","0.00","0.00"
"2016-05-29","66.0","59.0","0.16","0.00","0.00"
"2016-05-30","75.0","56.0","0.00","0.00","0.00"
"2016-05-31","83.0","64.0","T","0.00","0.00"
"2016-06-01","72.0","58.0","0.03","0.00","0.00"
"2016-06-02","64.0","55.0","0.00","0.00","0.00"
"2016-06-03","72.0","56.0","T","0.00","0.00"
"2016-06-04","67.0","58.0","0.17","0.00","0.00"
"2016-06-05","71.0","54.0","0.02","0.00","0.00"
"2016-06-06","79.0","54.0","0.02","0.00","0.00"
"2016-06-07","68.0","47.0","0.02","0.00","0.00"
"2016-06-08","69.0","51.0","0.00","0.00","0.00"
"2016-06-09","77.0","55.0","0.79","0.00","0.00"
"2016-06-10","81.0","63.0","0.00","0.00","0.00"
"2016-06-11","88.0","68.0","0.00","0.00","0.00"
"2016-06-12","89.0","59.0","0.32","0.00","0.00"
"2016-06-13","77.0","60.0","0.58","0.00","0.00"
"2016-06-14","76.0","62.0","0.00","0.00","0.00"
"2016-06-15","74.0","63.0","1.61","0.00","0.00"
"2016-06-16","73.0","61.0","0.00","0.00","0.00"
"2016-06-17","78.0","62.0","0.00","0.00","0.00"
"2016-06-18","84.0","66.0","0.00","0.00","0.00"
"2016-06-19","87.0","71.0","0.00","0.00","0.00"
"2016-06-20","91.0","66.0","0.00","0.00","0.00"
"2016-06-21","77.0","58.0","0.00","0.00","0.00"
"2016-06-22","81.0","64.0","T","0.00","0.00"
"2016-06-23","82.0","56.0","0.02","0.00","0.00"
"2016-06-24","75.0","56.0","0.00","0.00","0.00"
"2016-06-25","80.0","64.0","0.00","0.00","0.00"
"2016-06-26","94.0","66.0","T","0.00","0.00"
"2016-06-27","86.0","61.0","0.00","0.00","0.00"
"2016-06-28","73.0","54.0","0.00","0.00","0.00"
"2016-06-29","74.0","54.0","0.00","0.00","0.00"
"2016-06-30","79.0","60.0","0.07","0.00","0.00"
"2016-07-01","76.0","50.0","0.04","0.00","0.00"
"2016-07-02","73.0","54.0","0.00","0.00","0.00"
"2016-07-03","77.0","58.0","0.00","0.00","0.00"
"2016-07-04","77.0","59.0","0.00","0.00","0.00"
"2016-07-05","78.0","66.0","0.00","0.00","0.00"
"2016-07-06","88.0","62.0","2.48","0.00","0.00"
"2016-07-07","84.0","66.0","0.03","0.00","0.00"
"2016-07-08","81.0","65.0","0.02","0.00","0.00"
"2016-07-09","77.0","58.0","0.00","0.00","0.00"
"2016-07-10","80.0","64.0","0.23","0.00","0.00"
"2016-07-11","80.0","64.0","0.01","0.00","0.00"
"2016-07-12","87.0","69.0","0.10","0.00","0.00"
"2016-07-13","83.0","69.0","0.00","0.00","0.00"
"2016-07-14","82.0","64.0","0.00","0.00","0.00"
"2016-07-15","69.0","59.0","0.18","0.00","0.00"
"2016-07-16","77.0","59.0","0.00","0.00","0.00"
"2016-07-17","79.0","64.0","0.24","0.00","0.00"
"2016-07-18","80.0","62.0","0.00","0.00","0.00"
"2016-07-19","85.0","64.0","0.00","0.00","0.00"
"2016-07-20","86.0","70.0","0.07","0.00","0.00"
"2016-07-21","90.0","69.0","0.15","0.00","0.00"
"2016-07-22","92.0","70.0","0.00","0.00","0.00"
"2016-07-23","94.0","70.0","0.00","0.00","0.00"
"2016-07-24","79.0","69.0","1.11","0.00","0.00"
"2016-07-25","82.0","64.0","0.00","0.00","0.00"
"2016-07-26","84.0","69.0","0.00","0.00","0.00"
"2016-07-27","88.0","72.0","0.00","0.00","0.00"
"2016-07-28","79.0","62.0","1.31","0.00","0.00"
"2016-07-29","75.0","58.0","0.00","0.00","0.00"
"2016-07-30","76.0","61.0","0.00","0.00","0.00"
"2016-07-31","80.0","66.0","0.00","0.00","0.00"
"2016-08-01","82.0","68.0","0.00","0.00","0.00"
"2016-08-02","82.0","70.0","0.00","0.00","0.00"
"2016-08-03","86.0","69.0","0.00","0.00","0.00"
"2016-08-04","88.0","68.0","1.11","0.00","0.00"
"2016-08-05","81.0","62.0","0.48","0.00","0.00"
"2016-08-06","76.0","58.0","0.00","0.00","0.00"
"2016-08-07","79.0","59.0","0.00","0.00","0.00"
"2016-08-08","80.0","62.0","0.00","0.00","0.00"
"2016-08-09","80.0","66.0","0.00","0.00","0.00"
"2016-08-10","84.0","71.0","0.00","0.00","0.00"
"2016-08-11","88.0","66.0","3.41","0.00","0.00"
"2016-08-12","81.0","67.0","0.00","0.00","0.00"
"2016-08-13","78.0","62.0","0.24","0.00","0.00"
"2016-08-14","79.0","60.0","0.00","0.00","0.00"
"2016-08-15","79.0","59.0","0.00","0.00","0.00"
"2016-08-16","80.0","63.0","0.00","0.00","0.00"
"2016-08-17","83.0","60.0","1.90","0.00","0.00"
"2016-08-18","83.0","65.0","0.00","0.00","0.00"
"2016-08-19","82.0","65.0","0.42","0.00","0.00"
"2016-08-20","75.0","62.0","0.25","0.00","0.00"
"2016-08-21","66.0","54.0","0.36","0.00","0.00"
"2016-08-22","71.0","56.0","0.00","0.00","0.00"
"2016-08-23","81.0","61.0","0.00","0.00","0.00"
"2016-08-24","81.0","65.0","1.27","0.00","0.00"
"2016-08-25","79.0","60.0","0.00","0.00","0.00"
"2016-08-26","71.0","54.0","0.00","0.00","0.00"
"2016-08-27","71.0","57.0","0.00","0.00","0.00"
"2016-08-28","66.0","57.0","0.06","0.00","0.00"
"2016-08-29","82.0","59.0","0.00","0.00","0.00"
"2016-08-30","84.0","65.0","0.40","0.00","0.00"
"2016-08-31","77.0","54.0","0.00","0.00","0.00"
"2016-09-01","76.0","54.0","0.00","0.00","0.00"
"2016-09-02","74.0","55.0","0.00","0.00","0.00"
"2016-09-03","74.0","57.0","0.00","0.00","0.00"
"2016-09-04","74.0","59.0","0.00","0.00","0.00"
"2016-09-05","78.0","61.0","0.56","0.00","0.00"
"2016-09-06","79.0","65.0","1.22","0.00","0.00"
"2016-09-07","78.0","67.0","0.19","0.00","0.00"
"2016-09-08","75.0","61.0","0.01","0.00","0.00"
"2016-09-09","75.0","61.0","0.13","0.00","0.00"
"2016-09-10","72.0","56.0","T","0.00","0.00"
"2016-09-11","70.0","56.0","0.00","0.00","0.00"
"2016-09-12","78.0","57.0","0.00","0.00","0.00"
"2016-09-13","79.0","53.0","0.01","0.00","0.00"
"2016-09-14","63.0","45.0","0.00","0.00","0.00"
"2016-09-15","68.0","46.0","0.00","0.00","0.00"
"2016-09-16","73.0","58.0","0.82","0.00","0.00"
"2016-09-17","74.0","57.0","0.01","0.00","0.00"
"2016-09-18","70.0","52.0","0.00","0.00","0.00"
"2016-09-19","81.0","56.0","0.00","0.00","0.00"
"2016-09-20","76.0","54.0","0.04","0.00","0.00"
"2016-09-21","78.0","57.0","T","0.00","0.00"
"2016-09-22","68.0","61.0","1.68","0.00","0.00"
"2016-09-23","68.0","58.0","0.00","0.00","0.00"
"2016-09-24","70.0","59.0","0.27","0.00","0.00"
