"Date","Maximum Temperature degrees (F)","Minimum Temperature degrees (F)","Precipitation (inches)","Snow (inches)","Snow Depth (inches)"
"2016-09-25","67.0","61.0","0.13","0.00","0.00"
"2016-09-26","64.0","49.0","0.04","0.00","0.00"
"2016-09-27","63.0","48.0","0.00","0.00","0.00"
"2016-09-28","56.0","47.0","0.08","0.00","0.00"
"2016-09-29","65.0","47.0","0.00","0.00","0.00"
"2016-09-30","59.0","46.0","0.00","0.00","0.00"
"2016-10-01","69.0","48.0","0.00","0.00","0.00"
"2016-10-02","71.0","48.0","0.00","0.00","0.00"
"2016-10-03","72.0","48.0","0.00","0.00","0.00"
"2016-10-04","74.0","50.0","0.01","0.00","0.00"
"2016-10-05","74.0","55.0","0.68","0.00","0.00"
"2016-10-06","63.0","43.0","0.00","0.00","0.00"
"2016-10-07","66.0","39.0","1.10","0.00","0.00"
"2016-10-08","46.0","35.0","0.00","0.00","0.00"
"2016-10-09","50.0","33.0","0.00","0.00","0.00"
"2016-10-10","58.0","34.0","0.00","0.00","0.00"
"2016-10-11","73.0","49.0","0.00","0.00","0.00"
"2016-10-12","70.0","41.0","0.04","0.00","0.00"
"2016-10-13","48.0","35.0","0.00","0.00","0.00"
"2016-10-14","53.0","36.0","0.00","0.00","0.00"
"2016-10-15","64.0","43.0","0.00","0.00","0.00"
"2016-10-16","67.0","42.0","0.00","0.00","0.00"
"2016-10-17","67.0","43.0","0.01","0.00","0.00"
"2016-10-18","68.0","50.0","0.55","0.00","0.00"
"2016-10-19","64.0","43.0","0.00","0.00","0.00"
"2016-10-20","51.0","36.0","0.00","0.00","0.00"
"2016-10-21","49.0","35.0","0.00","0.00","0.00"
"2016-10-22","52.0","36.0","0.00","0.00","0.00"
"2016-10-23","64.0","36.0","0.00","0.00","0.00"
"2016-10-24","53.0","32.0","0.00","0.00","0.00"
"2016-10-25","54.0","32.0","0.00","0.00","0.00"
"2016-10-26","50.0","40.0","0.77","0.00","0.00"
"2016-10-27","44.0","41.0","0.03","0.00","0.00"
"2016-10-28","46.0","41.0","0.00","0.00","0.00"
"2016-10-29","70.0","46.0","0.00","0.00","0.00"
