lm_macro_random_cor,cart_macro_random_cor,knn_macro_random_cor,rf_macro_random_cor,svml_macro_random_cor,svmp_macro_random_cor,svmr_macro_random_cor,lm_macro_random_rmse,cart_macro_random_rmse,knn_macro_random_rmse,rf_macro_random_rmse,svml_macro_random_rmse,svmp_macro_random_rmse,svmr_macro_random_rmse,lm_macro_random_int,cart_macro_random_cp,knn_macro_random_k,rf_macro_random_mtry,svml_macro_random_cost,svmp_macro_random_cost,svmp_macro_random_scale,svmp_macro_random_degree,svmr_macro_random_cost,svmr_macro_random_sigma,repetition
0.48555836021213195,0.3293951304577525,0.17825961252468492,0.4045255460088991,0.484381079729987,0.46201275056923247,0.4840418633198774,0.026405584358909984,0.02960476957509919,0.03663000691006096,0.0266108180132315,0.02657439578477588,0.027166865715773293,0.026963241633242242,1,0.02,1,1,1,1,0.01,2,1,0.01,1
0.4882401935936149,0.39959454313415826,0.2532161038549007,0.41272359500691763,0.4727719827486507,0.44535226540467127,0.4492391491554572,0.026294109561900817,0.02648408006218142,0.031045173766684,0.027972032567206106,0.025990600342286993,0.025786036739501132,0.025812769763198733,0.5,0.04,2,2,2,2,0.01,3,2,0.01,1
0.4860244233378562,0.3943393455200117,0.43438961265309706,0.48285147688132773,0.46765473332637514,0.48710990502035284,0.47195491076088103,0.024578205934306215,0.026780065706158415,0.027267914507957396,0.026976728384625847,0.02488041597302301,0.025240121177865383,0.02570426942385993,0.3333333333333333,0.06,3,3,3,3,0.01,2,3,0.01,1
0.6507296466973886,0.3703398909751519,0.3996351680098899,0.54857910906298,0.6414170506912443,0.6405529953917051,0.616023425499232,0.023606197972862505,0.02881182562409384,0.028348659796597727,0.025974580426472934,0.024007336802562614,0.024198962759494885,0.02702332238865003,0.25,0.08,4,4,4,4,0.1,1,4,0.001,1
0.25214172395557904,0.23662273456452446,-0.03897408778424114,0.20745637228979377,0.2597038603913273,0.27916446324695926,0.2694341618191433,0.027225971669058338,0.026662569992432706,0.031032400463470316,0.027092654360114196,0.026784893573900945,0.025489899434014484,0.025515649195930686,0.2,0.1,5,5,5,5,0.01,2,5,0.01,1
0.6154487357599334,0.38750400152837416,0.37736741066163204,0.45084745762711875,0.6115031953320368,0.614781883856627,0.5888302306196167,0.02568441721028466,0.02974721750403428,0.03236739003782699,0.028693701011708664,0.025995741394628125,0.027132571364861087,0.027750691985448255,1,0.02,1,1,1,1,0.01,3,1,0.01,2
0.34168034507768064,0.2675274431621029,0.23600148971856139,0.33259533534374164,0.35034545940374845,0.36412566324388285,0.38607474138260095,0.028402944167352555,0.030070339338453093,0.03228304075067274,0.028812441804396446,0.028107322339271937,0.027490928499779632,0.027244837947300416,0.5,0.04,2,2,2,2,0.01,3,2,0.01,2
0.31902841781874036,-0.09078639193421927,9.36082375518661e-4,0.056739631336405534,0.2752016129032258,0.26756912442396313,0.27572964669738864,0.02613466328185995,0.030608194056910502,0.031621833547844515,0.029530235762846885,0.026609266817676648,0.026673849188379603,0.026041602037604136,0.3333333333333333,0.06,3,3,3,3,0.1,1,3,0.01,2
0.5372289793759915,0.32400176048137697,0.3209233455205818,0.3694341618191433,0.5386039132734003,0.5365943945002644,0.5557377049180328,0.02469724338094319,0.02856701971776025,0.02968763558862163,0.029234894801102484,0.025355219828275453,0.025398587756650715,0.025985958890247286,0.25,0.08,4,4,4,4,0.1,1,4,0.01,2
0.7035455959635485,NA,0.4696058784235138,0.5527873164617608,0.7044223403195544,0.7074283209687177,0.7380517488320689,0.029645374369551777,0.03764093131770614,0.03346906429896654,0.031569394464438766,0.02955769454382632,0.0295286416090358,0.02896991319766355,0.2,0.1,5,5,5,5,0.1,1,5,0.01,2
0.5296902396259499,0.47243835511004734,0.2919407324478648,0.4734658094681474,0.5423728813559323,0.582875511396844,0.5859731151373467,0.022429637033007096,0.024676940191492032,0.03282609771003442,0.023379103935690187,0.02181674969064286,0.02172076399847691,0.021577922615168686,1,0.02,1,1,1,1,0.01,3,1,0.01,3
0.5518433179723502,0.3677785327242935,0.1678608730492975,0.49265552995391704,0.5508832565284179,0.5592357910906298,0.5691244239631337,0.027039107764324194,0.031212973603542134,0.035997405615899966,0.02982968957008515,0.027450447163202798,0.028330975012283228,0.028680498867443616,0.5,0.04,2,2,2,2,0.01,2,2,0.01,3
0.45219208783460496,0.2945822592249238,0.2634852682779556,0.39875601218805873,0.46261741079297924,0.45440809851174735,0.4561204703986301,0.025814631415426777,0.029452005264880312,0.029708421428287852,0.02726552836740267,0.025598717220742414,0.025709318146023206,0.025218339965302813,0.3333333333333333,0.06,3,3,3,3,0.1,1,3,0.01,3
0.5288461538461539,0.26594114170471833,0.4815664679136779,0.48527097902097904,0.4955856643356643,0.4906031468531469,0.48719405594405596,0.02673681964292265,0.031729381290772976,0.029085657708041435,0.02806766107554169,0.027439596890739618,0.02774999422257276,0.02773456568047494,0.25,0.08,4,4,4,4,0.01,3,4,0.01,3
0.365255376344086,0.26875261771529846,0.2863383256528418,0.33693356374807987,0.32373271889400923,0.31677227342549924,0.38916090629800304,0.021504181663244075,0.02065148575666607,0.021739896991871024,0.022587280648521762,0.02198446472742676,0.020257201894036875,0.020620175484635517,0.2,0.1,5,5,5,5,0.001,3,5,0.01,3
0.5040668832313465,0.3415216987066516,0.11446777004707563,0.4449396892548664,0.5161542141975775,0.4981743093853089,0.49535393215985496,0.030658018417949864,0.034258071593652455,0.03947806427607925,0.0315764810555023,0.030708408140025734,0.031245629244249045,0.031407811006740206,1,0.02,1,1,1,1,0.01,2,1,0.01,4
