RMSE,Rsquared,MAE,Training_Size,Data
0.014493247628938534,0.7229196745253643,0.010677822792252455,129,Testing
0.014127979530377057,0.7644861395229255,0.01017379119543658,143,Testing
0.015334098072383331,0.6794748712315455,0.011069697133409218,157,Testing
0.013644477846826817,0.7606955137212892,0.010095543382151718,172,Testing
0.014103144266660341,0.7648618074019173,0.010493676848300599,186,Testing
0.014971500512863896,0.7190284281625356,0.0111418335701024,200,Testing
0.015053888609504218,0.6932792980705034,0.010987469591720237,215,Testing
0.0152356362932573,0.7031671564358178,0.011016914021907643,229,Testing
0.014844495857661564,0.7227289417976369,0.010843442622092678,243,Testing
0.014884132807789727,0.722717630415741,0.010899853638622359,258,Testing
0.015061563558742802,0.7061497160092223,0.011082676910857193,272,Testing
0.014960224080829148,0.7103950561170153,0.01092979697272292,287,Testing
0.009991925015666002,0.8629515829575642,0.007155398187827735,71,Training
0.014390772882650615,0.7591659948737557,0.009942501556269271,86,Training
0.013961429552071067,0.766562503407858,0.00964247928277962,100,Training
0.012851098167755487,0.728069119386886,0.008768987116633183,114,Training
0.014235660754008157,0.7561556931184968,0.010143227912704911,129,Training
0.013559048816592515,0.7898584105001737,0.009836657823334866,143,Training
0.014013181444248304,0.7669520452919587,0.010071142419141548,157,Training
0.01412129906584915,0.740028806030921,0.01009343272351432,172,Training
0.014458187394707353,0.7452306663379847,0.010289482938643247,186,Training
0.014993437696187347,0.6909373581938462,0.010935223073146608,200,Training
0.014506749486497897,0.7523257408683177,0.010661562626580986,215,Training
0.014050906637288712,0.7510038247205439,0.010359885856837073,229,Training
0.013809821832821607,0.7514309738286475,0.010093949992494916,243,Training
0.014399618384772214,0.7426535232613398,0.010379635728701618,258,Training
0.014067883560694158,0.7413509831461792,0.010496336948707004,272,Training
0.014413894243257144,0.7351914446412235,0.010780562103120998,287,Training
0.014535166432634935,0.7098069732102575,0.009819774800833745,71,Testing
0.01572785206257245,0.6978874884384885,0.011289691231435613,86,Testing
0.015518107214154453,0.7022233425807204,0.010810253036228047,100,Testing
0.014600983390082227,0.6613116643506494,0.009972425359821388,114,Testing
0.014604199306962136,0.7366927618790221,0.010465325340075864,129,Testing
0.014512349647657536,0.7517864070736536,0.010585129704395905,143,Testing
0.014335831936028224,0.7510685230888846,0.010328246146495952,157,Testing
0.014710242273975705,0.7136400307773277,0.010349215996380872,172,Testing
0.014840415689450706,0.7267779244195048,0.010464975006500406,186,Testing
0.015721439733467853,0.6584758297665881,0.011248816430842011,200,Testing
0.014903412597973544,0.7322757458742128,0.010855600188264935,215,Testing
0.014478926623007354,0.7311858714813604,0.010566746485389604,229,Testing
0.014377967483636216,0.7285477954939656,0.010328066746601387,243,Testing
0.014678050261018578,0.7290225354194089,0.010507765401740515,258,Testing
0.01441822951857701,0.7263056990126804,0.010646000399216048,272,Testing
0.014751103569002399,0.7195924958395893,0.010901549928335193,287,Testing
0.014125512444071165,0.7689761560983971,0.009344839778809762,71,Training
0.012315387028199287,0.8149393368509962,0.00869066379665531,86,Training
0.01313819212533764,0.79813794591844,0.009327793490855383,100,Training
0.012810292821411244,0.8008613876627524,0.00913716429293777,114,Training
0.013493245758863782,0.8036047068168765,0.009402517604474461,129,Training
0.013919179491810032,0.756857763846554,0.009692385411349619,143,Training
0.014982157099441644,0.7110548562806418,0.010977341097013942,157,Training
0.013952850917573128,0.7308124052672799,0.010230978216999378,172,Training
0.013181877259545633,0.7567983561408597,0.009537542615739176,186,Training
0.014643084706838996,0.7275794205959865,0.010640876583607229,200,Training
0.014059852952553529,0.7538886517860612,0.010145977409935695,215,Training
0.014065860929688687,0.7527773040624526,0.010411307085989054,229,Training
0.014008354039321469,0.7767575866852701,0.01035669656388546,243,Training
0.014127173969755148,0.7530612968318077,0.01035633814224873,258,Training
0.014286599674598197,0.735406812493679,0.010290068652421184,272,Training
0.014180218487569037,0.7499217223274238,0.010450442568038534,287,Training
0.01708736617277067,0.6221227147443863,0.011411820754966346,71,Testing
0.015128439978784786,0.6978919770624654,0.01088807134231662,86,Testing
0.015022974290845065,0.7114584372429559,0.01056680737648271,100,Testing
0.014561246481869163,0.7185387439361279,0.010197325727387007,114,Testing
0.0153595182921905,0.7264875859347741,0.01077866449667849,129,Testing
0.015816787770853845,0.6698129729951584,0.011128400972052746,143,Testing
0.015895976150525255,0.6565131942222914,0.011633635310981206,157,Testing
0.015251594570274024,0.6598288867475962,0.011134649409472458,172,Testing
0.014419067603380005,0.6983192078235799,0.010511094500836954,186,Testing
0.015256911750469532,0.691540620303051,0.011177047790660071,200,Testing
0.01493829992564915,0.7100248377678964,0.01078514877413778,215,Testing
0.015085196790028758,0.7034916306296023,0.011161352803849266,229,Testing
0.014989575628849908,0.7326966801689347,0.011057045676896842,243,Testing
0.01479473997793725,0.7175775189155607,0.010865650322447832,258,Testing
0.0149027534689588,0.7018948882287906,0.010809833541092592,272,Testing
0.014791411750221823,0.7178712091674204,0.01092734499019731,287,Testing
0.012359517108030635,0.801174820674151,0.008819776265663172,71,Training
0.012266593324528778,0.8006385330907868,0.00890200360026025,86,Training
0.013451709705720283,0.7828158163133279,0.009442350800267016,100,Training
0.013484009283695728,0.7303616376082832,0.009876663751652599,114,Training
0.013467120214596848,0.7795300039707764,0.009838686670358088,129,Training
0.01427489470235257,0.7312669776445909,0.010167986430742581,143,Training
0.013713097814311086,0.7584207048876205,0.009834622262170658,157,Training
0.0141592196036947,0.7735031771532626,0.009922199236087375,172,Training
0.014114641364021397,0.7280939495593315,0.010066694866326857,186,Training
0.013849560079233606,0.7483186260367138,0.009953148894311403,200,Training
0.014060499277446181,0.7589073869732496,0.010189578577441,215,Training
0.01422545149715151,0.7315298921587697,0.010274332665653469,229,Training
0.014568128570380806,0.7218525333753063,0.010531319837582289,243,Training
0.014064317442739824,0.7398944838168962,0.010146203223082526,258,Training
0.014220981681924793,0.7463117126969893,0.010318931884911769,272,Training
0.014322786919557195,0.7360116167398153,0.01046367841535228,287,Training
0.014541442122126902,0.7220623858538804,0.010615730722328506,71,Testing
0.015666199672614255,0.6722701970336337,0.0112881692066967,86,Testing
0.014529551837016541,0.7398789797165051,0.010456053166464307,100,Testing
0.0158605627078292,0.6362022953680387,0.01136518483040394,114,Testing
0.014478575411460819,0.7397499147204101,0.010586219748546987,129,Testing
0.015213121092624423,0.6946948749999523,0.010968125515644273,143,Testing
0.014954387372893712,0.7101720256689384,0.010928959663471828,157,Testing
0.015282395324342746,0.7283901795721848,0.010687570545368147,172,Testing
0.015073137981776898,0.6899145770546152,0.010898270671852173,186,Testing
0.014576432371920824,0.7207235580622409,0.010541712789889336,200,Testing
0.015091653375050232,0.7201519481003019,0.0108942921477275,215,Testing
0.015015574432008608,0.7004507734561026,0.010911165336243886,229,Testing
0.015300172514159981,0.6929090023795186,0.010976976897001384,243,Testing
0.014781039096087474,0.7118341065086559,0.010595242820077455,258,Testing
0.0148692564399431,0.7207351849092011,0.010812168013803053,272,Testing
0.014953884206051505,0.7113606930232764,0.010913891731209055,287,Testing
0.014091795978916605,0.6339080881358405,0.009804731423651864,71,Training
0.011605883281666812,0.7590006020422997,0.008070496099483153,86,Training
0.014386627811935343,0.6604895213428124,0.009637705645057275,100,Training
0.014809374124284447,0.7156229661014353,0.010702710827102738,114,Training
0.011636770513432149,0.8270558554844618,0.008658713838162663,129,Training
0.01284646398511605,0.7588377244388509,0.009423870334132434,143,Training
0.014136306305385742,0.7057549938977736,0.0100564763177492,157,Training
0.013774063541109275,0.7420131865992218,0.009956258466326523,172,Training
0.014676501006604689,0.7654184935176566,0.010567764961347646,186,Training
0.014817546663915148,0.7129838627443945,0.010357926543624815,200,Training
0.014477682649872878,0.7335544783324163,0.010614887323981376,215,Training
0.014248387471628475,0.7472848735559822,0.010390474347617609,229,Training
0.014305823970889944,0.7524725362717316,0.010346067863536177,243,Training
0.01429400860763419,0.7364226419281842,0.010420850419465352,258,Training
0.014740798540812223,0.7361705844181404,0.01092194712545331,272,Training
0.01455740892875714,0.7318457678206265,0.010627455818678523,287,Training
0.014944916202395731,0.6044650968164964,0.010846756826421283,71,Testing
0.013193014727294542,0.694788647354759,0.009741484987414912,86,Testing
0.015940619697880624,0.5969599499916101,0.010988097973609948,100,Testing
0.01583071052467189,0.6578269615959599,0.011705727062864974,114,Testing
0.013287364988607022,0.7635126180582903,0.010079371385505525,129,Testing
0.014619181678210306,0.6843179858736207,0.010820356875675985,143,Testing
0.014713781590507617,0.6772812745221128,0.010758652543826762,157,Testing
0.014123698685259199,0.7218254454027594,0.010391155819662386,172,Testing
0.015285498037299944,0.7361799531583081,0.011179854592159068,186,Testing
0.015329553312595801,0.6882717427305596,0.01079433992505921,200,Testing
0.01505734257947354,0.7041318890378852,0.011099796432746105,215,Testing
0.014480256990397311,0.7323279009512824,0.010684968382140874,229,Testing
0.014742073789016681,0.7292871499465174,0.010839736628169838,243,Testing
0.014534553360568235,0.7211090947733719,0.01076056625919919,258,Testing
0.014926351850289166,0.7225894126752412,0.011199232436510866,272,Testing
0.01471557137185016,0.7199880935820927,0.010891371718091545,287,Testing
0.015067264606943801,0.7722320456122587,0.010829493898252968,71,Training
0.013103899145159336,0.802027976839669,0.009074570098444378,86,Training
0.012811665273138912,0.7648793336656153,0.008369099490169112,100,Training
0.013278888262926563,0.8114889756536742,0.009714065436552682,114,Training
0.014253608925797771,0.7797259128374625,0.010139503682290133,129,Training
0.014737388347857523,0.735460946294566,0.010606548641759608,143,Training
0.014844203783981774,0.7070702223526835,0.010787436355058414,157,Training
0.013903597384714144,0.6626934975666121,0.010008429509516994,172,Training
0.013853944219897,0.7377281748008493,0.009978207093840506,186,Training
0.014346840360820888,0.7526009313988835,0.010619076768860104,200,Training
0.014829849731281482,0.718489010462584,0.010580896162716995,215,Training
0.014540868632803784,0.691071305678235,0.01043152280096961,229,Training
0.01499857885991598,0.7144041534395094,0.010730836334176147,243,Training
0.01449862609177633,0.7338883754433023,0.010564519549388618,258,Training
0.01466774254449514,0.7119303220608714,0.010620720752455026,272,Training
0.014784238375721908,0.7125788941543123,0.010716579802686301,287,Training
0.016022021448028157,0.7367470048206232,0.011792246942995266,71,Testing
0.014121641688457202,0.7696454832940016,0.010420126192693849,86,Testing
0.014290736722236798,0.7282473085455821,0.009669242845728933,100,Testing
0.01419213867587667,0.7834190366232715,0.010608774144037096,114,Testing
0.014891265168522714,0.7560773880089507,0.01083239930313751,129,Testing
0.015082770552011269,0.7276640346728951,0.011128050468164882,143,Testing
0.014929114228251527,0.712261077412595,0.011051728948661061,157,Testing
0.014131451474522999,0.6778382648238853,0.01016895868480439,172,Testing
0.014259200064688417,0.7299501114100566,0.010388488202504577,186,Testing
0.014661578888919193,0.7439282562709147,0.010942638423569545,200,Testing
0.014921458134670492,0.7197685757862136,0.010804375135448931,215,Testing
0.014786723843825289,0.6913534013947845,0.010682502473732087,229,Testing
0.015042817568350693,0.7168598045169021,0.01087959015066287,243,Testing
0.014647268290438806,0.7319981859725857,0.01075170584749224,258,Testing
0.014745114138173875,0.7144578194016937,0.010764872509942847,272,Testing
0.014880696543657526,0.7135572088764198,0.010861143255749545,287,Testing
0.012285774513809116,0.8244973516225248,0.007953041251018119,71,Training
0.016640614706377156,0.6775409939099055,0.011564870204300647,86,Training
0.01372694948667725,0.7731637675215449,0.009607766980404558,100,Training
0.013765356875484396,0.7572854109841944,0.00971352488172418,114,Training
0.014328808927971032,0.7735896716061174,0.010154245785137694,129,Training
0.015131815984015307,0.6966594123331978,0.010608446973005763,143,Training
0.014527098668910879,0.7387815005989425,0.01088243323519076,157,Training
0.014498331155148047,0.7353185549927854,0.010641040547563336,172,Training
0.015178785686993025,0.7254259578277884,0.010621652881102226,186,Training
0.013963598696052999,0.7452903494469671,0.01013437783836285,200,Training
0.014472312242933397,0.699675175923242,0.010520880559042685,215,Training
0.014560041407913029,0.7309283379524196,0.010648061811429108,229,Training
0.01469814294753568,0.7291545528303753,0.01067872447387325,243,Training
0.014684042265787007,0.7277530933559084,0.010658169848076356,258,Training
0.014767661286290666,0.7218260835925963,0.010712452530122006,272,Training
0.014700546024791579,0.7261289909690919,0.01073798525496627,287,Training
0.016344098453032425,0.6758453009978315,0.01078481545061008,71,Testing
0.016773631577313777,0.6626535007702781,0.011980381828431887,86,Testing
0.015251109445058069,0.6971494862101731,0.01090429223975127,100,Testing
0.014955618528728063,0.7016504772880121,0.010767262532916457,114,Testing
0.015882370846410896,0.7067447738883545,0.011114978714698473,129,Testing
0.015307589694266608,0.6795126045778606,0.010961100080952847,143,Testing
0.015106963084268978,0.7076962512646237,0.01105745215925684,157,Testing
0.015229431949557606,0.6986700823503031,0.011304308218215275,172,Testing
0.015261293736122783,0.7097482805895592,0.010759002056854424,186,Testing
0.014136856313202908,0.7314613310402671,0.010342491078834878,200,Testing
0.0145519159283174,0.6912415152086113,0.010634980850927256,215,Testing
0.014883690444069219,0.7109304392319786,0.011002925932306933,229,Testing
0.015032148517959965,0.709648366369926,0.010937443547081468,243,Testing
0.014841028196819539,0.7148034245467486,0.010873046453844484,258,Testing
0.015085886118402123,0.7025989027366659,0.010969496271315465,272,Testing
0.014986843570436663,0.7089448295802832,0.011004936221481153,287,Testing
0.013516412492545187,0.7403444439327428,0.00953343589427838,71,Training
0.013569612360596246,0.7967032406762141,0.009567893487992469,86,Training
0.012366861730068443,0.7586276513553291,0.008695391019018625,100,Training
0.013898061308480796,0.7485440321231321,0.009704377133733177,114,Training
0.01404748008102509,0.7002317347107375,0.010140741405112818,129,Training
0.01349063485560527,0.7917492402921562,0.00999393797362243,143,Training
0.015367150585272904,0.6776988566166539,0.011208513396056769,157,Training
0.015350698286473362,0.693750469339494,0.010998615031815925,172,Training
0.014540031127327822,0.7732447725080559,0.010227297449946082,186,Training
0.014032934471575676,0.7492944366060564,0.009932933180820268,200,Training
0.014226208586126284,0.7408496498824769,0.010322350654904033,215,Training
0.012907770432273433,0.7681449529381412,0.009552618600077521,229,Training
0.014444136145487868,0.7373968009975922,0.0105213513695406,243,Training
