Model,Metric,dataset,Data,Intercept,Mtry,Ncomp,C,Mean_Degree,Mean_Scale,Mean_Sigma,Mean_Performance,Std_Dev_Performance,Range_Performance,N,Splitting
PLS,RMSE,std_training,Spectra,NA,NA,141,NA,NA,NA,NA,8598261456.034864,4864937377.058927,15412157996.322876,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,141,NA,NA,NA,NA,78186937.39655711,224335928.298664,744822971.9442645,20,Random
PLS,RMSE,abs_training,Spectra,NA,NA,141,NA,NA,NA,NA,9621387.7362267,28615919.320610195,100016725.54923028,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,141,NA,NA,NA,NA,3642149.2400784506,13339160.556515688,59243230.28542624,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,140,NA,NA,NA,NA,2180597.89814484,5422612.007278191,24192075.37017129,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,141,NA,NA,NA,NA,2180597.89814484,5422612.007278191,24192075.37017129,20,Random
PLS,RMSE,std_training,Spectra,NA,NA,140,NA,NA,NA,NA,1568224.632687303,4144034.9828302725,15416057.04430866,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,140,NA,NA,NA,NA,210475.08017909573,375785.1981936704,1489104.832677076,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,139,NA,NA,NA,NA,21599.703202660832,50326.267547356365,199696.93656444293,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,140,NA,NA,NA,NA,9238.57379654053,34658.6247831996,155797.7233914795,20,Random
PLS,RMSE,abs_training,Spectra,NA,NA,140,NA,NA,NA,NA,9063.138004515946,26364.90556109104,92134.17825048487,20,Random
PLS,RMSE,std_training,Spectra,NA,NA,139,NA,NA,NA,NA,7980.790205569919,21268.7752122046,91316.86745193289,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,139,NA,NA,NA,NA,5463.038063613357,8473.54344822692,33323.58953602552,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,138,NA,NA,NA,NA,411.1286129551108,550.2101063658556,1640.25971810915,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,138,NA,NA,NA,NA,405.6452614368074,814.6746899138228,3582.8415396451755,20,Random
PLS,RMSE,abs_training,Spectra,NA,NA,139,NA,NA,NA,NA,101.57436637351432,323.40702219448036,1457.5060908891996,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,139,NA,NA,NA,NA,93.85775600522253,207.87717516430536,702.9818130684246,20,Random
PLS,RMSE,std_training,Spectra,NA,NA,138,NA,NA,NA,NA,74.75499012602657,189.21071711749687,831.6841814093985,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,137,NA,NA,NA,NA,42.95267156931598,89.86309901357198,385.6633226003467,20,Random
