Model,Metric,dataset,Data,Intercept,Mtry,Ncomp,C,Mean_Degree,Mean_Scale,Mean_Sigma,Mean_Performance,Std_Dev_Performance,Range_Performance,N,Splitting
PLS,RMSE,std_training,Spectra,NA,NA,141,NA,NA,NA,NA,9488090839.434223,4526489268.544438,13961526648.31366,20,Random
PLS,RMSE,abs_training,Spectra,NA,NA,141,NA,NA,NA,NA,231628777.6484625,793789668.5510978,3435631326.635049,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,140,NA,NA,NA,NA,118219082.0711237,432163599.4548565,1929870252.6054852,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,141,NA,NA,NA,NA,118219082.0711237,432163599.4548565,1929870252.6054852,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,141,NA,NA,NA,NA,81756711.08273843,219403507.25753245,808178386.9720193,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,141,NA,NA,NA,NA,12971809.34815773,36154430.86040616,129318129.22400117,20,Random
PLS,RMSE,std_training,Spectra,NA,NA,140,NA,NA,NA,NA,9677323.899135992,22377496.02923315,85593419.32032563,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,140,NA,NA,NA,NA,335293.61462630774,1460603.8637335645,6539900.111955684,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,140,NA,NA,NA,NA,300172.81826318934,876051.3595812281,3956894.0490193292,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,139,NA,NA,NA,NA,234423.9882750197,1029700.6447978402,4609050.929770197,20,Random
PLS,RMSE,abs_training,Spectra,NA,NA,140,NA,NA,NA,NA,68122.0803850249,240578.32704488892,1079722.713995173,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,139,NA,NA,NA,NA,18619.842915237416,69029.28089342543,309190.38459455303,20,Random
PLS,RMSE,std_training,Spectra,NA,NA,139,NA,NA,NA,NA,3387.120921461593,9088.570880765574,40599.94127512515,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,139,NA,NA,NA,NA,2653.1736960137346,10839.968699219644,48612.23704349066,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,138,NA,NA,NA,NA,1574.771363960868,6524.440962108587,29273.128974389118,20,Random
PLS,RMSE,abs_training,Spectra,NA,NA,139,NA,NA,NA,NA,1119.841997926547,3310.0642668862547,14508.332178899404,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,138,NA,NA,NA,NA,1097.21894852766,4372.625141194103,19659.29717697597,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,138,NA,NA,NA,NA,62.58449048298207,260.30546663434257,1167.7661585913254,20,Random
PLS,RMSE,std_training,Spectra,NA,NA,138,NA,NA,NA,NA,50.19594065674237,66.2988727894085,210.46995628786306,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,137,NA,NA,NA,NA,36.81275930741131,141.21561457611855,635.5784472948928,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,137,NA,NA,NA,NA,20.86372531309918,60.43842962390671,274.98960047260766,20,Random
PLS,RMSE,abs_training,Spectra,NA,NA,138,NA,NA,NA,NA,14.909509159496185,27.846212949608518,91.74388980161304,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,137,NA,NA,NA,NA,8.016011764138513,34.59808712991355,154.95228704555862,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,136,NA,NA,NA,NA,1.8464282829958554,6.1651724754697925,27.7933855541334,20,Random
PLS,RMSE,std_training,Spectra,NA,NA,137,NA,NA,NA,NA,1.774203822806298,2.540780857109454,7.470937103580287,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,136,NA,NA,NA,NA,1.4597343896441344,6.249747424939503,27.98472144076542,20,Random
PLS,RMSE,abs_training,Spectra,NA,NA,137,NA,NA,NA,NA,1.0686455722852057,2.0029442570831475,6.307679516480718,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,136,NA,NA,NA,NA,0.9008008395527997,1.2238177570708044,4.654317618737885,20,Random
PLS,Spearman_R,abs_training,Spectra,NA,NA,16,NA,NA,NA,NA,0.7717917946492943,0.049780575144487894,0.17415948874687426,20,Random
PLS,Spearman_R,base_training,Spectra,NA,NA,16,NA,NA,NA,NA,0.771559778597173,0.0528398563483373,0.19555432064462352,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,95.82300000000001,NA,NA,NA,0.769348044818337,0.046649604269825964,0.1919422061683801,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,99.127,NA,NA,NA,0.7691757766734408,0.045797683943363025,0.18927479855515428,20,Random
PLS,Spearman_R,sq_training,Spectra,NA,NA,16,NA,NA,NA,NA,0.7691146487367144,0.052865747081776666,0.19466518477354833,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,92.575,NA,NA,NA,0.768956269132132,0.045671339726919495,0.18727424284523475,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,100.8,NA,NA,NA,0.7688520773631884,0.046438227912852154,0.1938871908863573,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,94.19200000000001,NA,NA,NA,0.7688479072419444,0.04563345932772801,0.19055293136982498,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,97.468,NA,NA,NA,0.7687839990185087,0.04628794586127733,0.19071964434565158,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,104.188,NA,NA,NA,0.7687673255977888,0.04673652521711244,0.1923312031119756,20,Random
PCR,Spearman_R,abs_training,Spectra,NA,NA,29,NA,NA,NA,NA,0.7686672990089701,0.05094286745718989,0.167101972770214,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,89.383,NA,NA,NA,0.7686200673330562,0.04615264057878197,0.18899694359544328,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,102.48700000000001,NA,NA,NA,0.7685422663616348,0.045226427434423504,0.18605168102250635,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,90.97200000000001,NA,NA,NA,0.7683060877543583,0.04585601577288984,0.18899694359544317,20,Random
PCR,Spearman_R,abs_training,Spectra,NA,NA,31,NA,NA,NA,NA,0.7682407870328157,0.05318354907128719,0.17340008099536597,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,87.808,NA,NA,NA,0.7679587623378855,0.046917309892158594,0.1895526535148654,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,116.48700000000001,NA,NA,NA,0.7678906918681145,0.046759197901117086,0.18649624895804395,20,Random
PCR,Spearman_R,abs_training,Spectra,NA,NA,28,NA,NA,NA,NA,0.7678754470002306,0.04891309661892961,0.1823839955543206,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,112.903,NA,NA,NA,0.7678240089939334,0.04641459576231168,0.18927479855515428,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,107.632,NA,NA,NA,0.7677017520396108,0.047626884478563634,0.19410947485412622,20,Random
PCR,Spearman_R,base_training,Spectra,NA,NA,32,NA,NA,NA,NA,0.7675767085449747,0.055732043542173156,0.2063538706854633,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,111.132,NA,NA,NA,0.7674489044509011,0.047662780155526926,0.19066407335370927,20,Random
PCR,Spearman_R,base_training,Spectra,NA,NA,27,NA,NA,NA,NA,0.7674295049413732,0.052193885220883106,0.17115865518199513,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,105.903,NA,NA,NA,0.7674197281167304,0.0474530836912942,0.19549874965268133,20,Random
PCR,Spearman_R,base_training,Spectra,NA,NA,31,NA,NA,NA,NA,0.7673891551153837,0.056415886461658106,0.2068540096129433,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,86.247,NA,NA,NA,0.7673294261233805,0.04604753655819753,0.18721867185329266,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,129.472,NA,NA,NA,0.767290522684579,0.046922712960906186,0.1795498749652682,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,109.375,NA,NA,NA,0.7672460705233245,0.0468131823950483,0.1932203389830508,20,Random
PCR,Spearman_R,abs_training,Spectra,NA,NA,30,NA,NA,NA,NA,0.7670821360584925,0.053020397188765216,0.16995469416389686,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,121.968,NA,NA,NA,0.7670182322743435,0.046987569887235105,0.18349541539316483,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,118.3,NA,NA,NA,0.7669598741244481,0.04560046055294227,0.17693803834398447,20,Random
PCR,Spearman_R,base_training,Spectra,NA,NA,33,NA,NA,NA,NA,0.7669307028472041,0.0554361221553089,0.20235270676623307,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,75.712,NA,NA,NA,0.76686680022113,0.04635435399414349,0.19044178938594059,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,123.82300000000001,NA,NA,NA,0.7668654076844207,0.04637083557375124,0.1816615726590719,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,125.69200000000001,NA,NA,NA,0.7667292525005582,0.047744457941013195,0.1818282856348986,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,72.828,NA,NA,NA,0.766705647278287,0.04637753278168782,0.19049736037788267,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,83.167,NA,NA,NA,0.76665423945914,0.045615405223538026,0.18505140316754665,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,81.648,NA,NA,NA,0.7666486817809084,0.04573557713588251,0.18616282300639075,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,61.852000000000004,NA,NA,NA,0.7666139565698747,0.04520414296549616,0.18605168102250635,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,60.543,NA,NA,NA,0.7666056226195931,0.045467261715724884,0.18877465962767448,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,55.447,NA,NA,NA,0.766586171807351,0.04580355945415332,0.18799666574048346,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,84.7,NA,NA,NA,0.7665528183648849,0.045700099255047526,0.18482911919977763,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,63.175000000000004,NA,NA,NA,0.7665236500214304,0.04623180238855614,0.19033064740205607,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,114.688,NA,NA,NA,0.7664569575352285,0.04722155364099919,0.18732981383717706,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,70,NA,NA,NA,0.7664361257284227,0.04641872164715142,0.19066407335370938,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,78.652,NA,NA,NA,0.7663916658466694,0.04594672816387802,0.18788552375659895,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,50.575,NA,NA,NA,0.7663666661189619,0.04494919879781966,0.18571825507085304,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,54.208,NA,NA,NA,0.7663361005292939,0.045750847264572125,0.18971936649069188,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,59.248000000000005,NA,NA,NA,0.766311095628852,0.04546924996481952,0.19088635732147818,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,64.512,NA,NA,NA,0.7662791380815122,0.04636745677005491,0.19060850236176718,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,77.175,NA,NA,NA,0.7662638536074697,0.046614332647596346,0.19060850236176707,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,80.143,NA,NA,NA,0.7662430129220904,0.046235635335861516,0.18905251458738548,20,Random
