taxa,BLUPs_4
1538,0.19871502388549886
2369,-1.731999681346575
29MIBZ2,-2.2930854090601938
2FACC,0.5913479877566074
2FADB,2.311412039061958
2MA22,0.0273991207464012
2MCDB,-1.6241119089184393
33-16,0.6343739783089791
3IJI1,1.476652528854918
4226,0.5210939955339604
4F-306-108,-0.31433349962757967
4F-35-BK,0.5724736471768034
6F629,0.4202510025454933
6M502,-0.9146649284672105
6M502A,2.2872950553007705
764,-0.09789534323804963
78551S,2.9035042839195
790,-1.9444994791898007
792,-0.3372300500905892
793,0.49530657501922937
87916W,-0.6548328300563114
911,-0.22510698113465027
912,-2.099972834618037
91IFC2,-2.9820881553638228
A,1.3354242161672336
A208,1.3155792453533242
A239,-0.021976895693965312
A258,2.0940209344087948
A305,2.868376565735451
A321,0.6749463790692796
A322,0.5396441579352665
A334,-1.409369656718594
A340,0.44810589358713554
A374,0.44104105552179834
A385,-2.5959244423362815
A401,2.2882972108535884
A427,0.4978548651526191
A548,1.9522526169429002
A572,-1.5005491340319506
A619,0.39238594215483724
A627,-0.7180630759810762
A632,-1.7943443728393367
A634,-2.0538225370976018
A635,2.7761367366950433
A641,0.04653240885521543
A648,-2.616343249828256
A649,1.6305175004855017
A659,1.2090440130458948
A663,-1.9237367695536693
A672,-2.6867372481971006
A674,-1.7545443162928047
A679,-2.1075541172171794
A680,0.4717394092580346
A682,1.8613829412401437
A71,0.12133299609375536
A73,1.037114044887246
A797NW,0.45364448521791567
AQA3,-0.46215579698309495
AS6103,0.5443937022399654
AusTRCF-306238,0.62187853503506
B-18,0.541156636627168
B-28,-0.2682094773137413
B104,-0.0795517084004064
B105,0.975610179344522
B107,-1.2553019447216307
B108,-0.8114910839488622
B109,-1.4583522172889878
B110,1.9326519944601657
B111,0.35058102939076485
B115,0.19227628109378211
B119,0.27362115344219606
B120,-0.0947160212867106
B121,-1.8145334174776573
B14,1.458285073369398
B164,1.1915037948301836
B2,0.9950987549826981
B37,0.5864164045918592
B46,0.5752495761346829
B57,-0.6072039123600403
B65,0.10211390973450038
B66,0.4842709836739461
B70,0.09799045830041067
B75,1.1486439869285603
B76,0.7330568362406872
B77,-0.08471059669966771
B79,-0.2552199677059569
B84,0.3264334869793255
B85,0.01071083386906939
B87,-2.356250482319117
B97,-0.15202438532648077
B98,-0.09238738267433519
BEI-10,-0.0963818149351622
C123,1.0938812251320145
CH157,3.0831990416361506
CH701-30,0.7509788820392754
CH711-10,-0.3018110246594175
CH753-4,0.5603698796377208
CI-40H,-0.042728003271518836
CM105,0.25659366626551966
CO257,-0.3902523494546806
CO258,-0.5498790584734586
CQ702RC,1.3795558235442271
CR-22,0.8089100991636224
CR14,0.4760321505427165
CS405,0.45243550046393033
DE2,-1.7598833834988887
DE3,0.07597187293778569
DE4,0.7097337622954333
DE811,1.7645823717087503
DJ7,-0.4943202716651038
DK4676A,-2.4676849109860353
DK78002A,-1.9605055079298455
DK78010,0.5556856657296728
DK78371A,0.12139502865938065
DKFBHJ,0.07968109905279847
DKIB014,0.2199782859574944
DKMBNA,1.8046923548331244
DKPB80,0.5394245985148449
E8501,0.25114270528358373
EAST-028,0.8341539962922933
Eng-Li-Chih,1.8198666648218245
F118,-0.37169969957243676
F2834T,0.21939325721527705
FBLA,0.4689995698704797
FC46,-0.47394550398548607
FR19,2.4634788905523965
H105W,0.6059733838357325
H110,0.11334839952081126
H113,-0.2703272122830465
H114,0.9849218940934692
H121,-1.5606440606720517
H5,0.23697143089145664
H71,0.6927701103328704
H84,0.23244214508066519
H91,0.5978709600237948
H95,2.946988473236612
H96,-0.27555694723726143
H99,0.7503783576455997
HP301,-1.2077290038641815
HUANYAO,1.5687676106971082
HUOBAI,0.2628599688398695
Hy,-0.8928523176747414
I29,-0.21247741576531096
IA2132,-4.164706968095759
IBB14,0.251579969042154
IBB15,2.8437373646275756
IBC2,1.8359426321575276
ICI-193,-2.044436451315377
ICI-441,-0.11367057461240312
ICI-740,0.010280966384004166
ICI-893,-0.6467325187514802
ICI-986,0.5872900607190622
ICI581,1.0507385115179853
IDS91,-0.07200627526424654
INB-101LFY,-0.6896949839733978
INBRED-109,2.810071588713993
INBRED-141,-2.7750549612794195
INBRED-305,-1.6185540538821719
INBRED-309,-1.2534587902543186
Ia-453,-0.16608763945919347
Il778d,-0.9528408368414488
J47,-0.42605122519130706
J8606,-0.5433899598212885
K150,0.5495270986016435
K41,0.05956290755081596
K47,-0.22578438671785248
K55,0.01111275435240478
KUNG-70,-3.1052657174371134
L-127,-0.5623081310466892
L-135,0.9403943705037604
L-139,-0.4728889449763778
L-155,1.578615253033139
L-289,0.6851543238466951
LH1,1.2637509475819548
LH127,0.05420536104857388
LH128,0.13679618030311153
LH132,0.079630324281519907
LH143,-1.9846764293229975
LH145,0.8362253385106176
LH146Ht,0.3901277765145896
LH149,-2.2241343341332613
LH165,1.6266614778136295
LH166,1.281208878590006
LH172,-1.0642860804408392
LH181,-1.0048406136155723
LH184,0.6582125884332587
LH190,-0.12210018863443015
LH191,0.3817553775652836
LH192,0.01103349475241237
LH193,-0.8169453972391293
LH194,-1.3608642990370399
LH195,-1.1809978499304252
LH197,-1.8467834089148318
LH198,-1.363158902073922
LH199,-2.2398165397450747
LH202,-2.7612410535914518
LH204,-0.16466767615797975
LH205,-0.7333204708925842
LH206,-2.035985727981801
LH208,0.47276455902557013
LH209,-1.9339207670342924
LH211,0.2144452716505658
LH213,-0.39478659312306724
LH214,-0.25832238487409453
LH215,-0.16427149999187976
LH216,3.1580796098899246
LH222,-0.2554631047281421
