taxa,BLUPs_5
1538,0.006952684206338768
2369,-1.5305093279529025
29MIBZ2,2.100238216243111
2FACC,1.2175482716362531
2FADB,-0.22335094230000932
2MA22,0.9103587928045436
2MCDB,0.7670088963981907
33-16,1.2220259082653893
3IJI1,0.5690828722641503
4226,-1.834540711710174
4F-234-BX-4,-1.510560417573814
4F-306-108,-1.5661015081250502
4F-35-BK,-1.714685149456714
6F629,-0.3824577802194662
6M502,1.0890210656550112
6M502A,-0.20845436028134065
764,0.15094359918519434
78551S,3.0191502760856985
790,0.2773396441252691
792,0.6552032326731597
793,1.602927230146265
87916W,-2.076872170184432
911,0.5805986454956235
912,-0.30320647236757436
91IFC2,0.4336821332392256
A,0.6618044153564107
A208,1.4105154137013487
A239,0.423198078172547
A258,-1.027015054859578
A321,1.0292711171292686
A322,-1.0009025081798875
A340,-2.3666699708162873
A374,-1.8037255257683489
A385,0.5881741251822838
A401,-0.8659264710129161
A427,1.7262691496149456
A548,-0.3752524073198644
A572,0.19673316529121423
A619,0.9043392494913683
A627,-1.3595176394169242
A632,-0.2372227226181286
A634,0.03216726145385809
A635,-0.3888625357055899
A641,1.1600301034331344
A648,-1.6600655267714457
A649,0.43404136851557956
A659,0.9459499766206317
A663,1.5188769971799168
A672,1.4667676012536197
A674,-1.1068990037754944
A679,-0.13891086008662368
A680,-0.07004015239937814
A682,2.5185106498249703
A71,2.050938242224634
A73,-0.9708254770081453
A797NW,0.2894241939667365
AQA3,-1.6714292426202568
AS6103,0.33811478177366266
AusTRCF-306238,-0.15529637135015076
B-28,-1.6823133674253512
B104,-0.4672670548759986
B105,0.7814114069813249
B107,2.3615315123320197
B108,0.06505801119820322
B109,-1.3822848549144207
B110,1.070977266046686
B111,-0.1606399971854785
B115,-0.2152158790907094
B119,1.0501193386927856
B120,-1.293830362211483
B121,-0.421611171060069
B14,0.4333854033447261
B164,-0.5945188637658404
B2,0.8744076581179284
B37,-0.658289215371405
B46,-1.0659142130818173
B66,0.9036198445436188
B68,-0.24169547911780373
B70,-0.5637636404911116
B75,-0.2875332065321627
B76,-1.3817806637504884
B77,-0.8008857685629869
B79,-0.4496076633897967
B84,0.16125084969156575
B85,-2.071772250509999
B87,0.938525658253156
B88,1.3754813350103405
B97,-0.35071040199366915
B98,-0.31153154530453536
BEI-10,2.292262756946011
C103,-0.014827021458193698
C123,2.743938847660936
CH157,-0.5170229756912713
CH701-30,-0.30411003474712817
CH711-10,-0.3377121380449403
CH753-4,3.116583879645694
CI-40H,-1.1359746106130375
CM105,-1.6983083996827384
CO257,1.450413044046915
CO258,-1.074333103894102
CQ702RC,2.127614055010504
CR-22,1.9686069635580041
CS405,-0.5304862672331062
DE2,0.2930783505170562
DE3,1.5815813247101014
DE4,0.28894765912973364
DE811,0.18567241974759507
DJ7,0.1578511440246154
DK4676A,0.760179272027712
DK78002A,-0.1522870546390331
DK78010,-0.8575988293359641
DK78371A,0.20335291397500777
DKIB014,0.24817973661596107
DKMBNA,0.774588976394571
DKPB80,-1.0207216586123478
E8501,-0.8538311859790548
EAST-028,-1.2593881470501411
Eng-Li-Chih,-0.2949479401175166
F118,-1.19991650947579
F2834T,-1.1685983135945204
FBLA,1.4223139048420699
FR19,-0.4927404532003832
H105W,0.32273718712212646
H110,-0.03479523378624818
H113,-0.3100045009510187
H114,1.0579372057885077
H121,-1.2715135516228877
H122w,0.4871585335057611
H5,-1.0150969740289153
H71,0.1276365286804468
H84,-0.8200606971588128
H91,-1.2128363502849115
H95,0.23667950994268125
H96,-0.652872538757718
H99,-1.2724551555823786
HUANYAO,-0.02601480228220787
HUOBAI,2.201719713092274
IA2132,-0.9935457764204138
IBB14,2.073401485249194
IBB15,2.6236352786822326
IBC2,-0.02615127036866188
