Model,Metric,dataset,Data,Intercept,Mtry,Ncomp,C,Mean_Degree,Mean_Scale,Mean_Sigma,Mean_Performance,Std_Dev_Performance,Range_Performance,N,Splitting
PLS,RMSE,std_training,Spectra,NA,NA,141,NA,NA,NA,NA,8653438860.154108,4168211271.477968,13213068420.039986,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,141,NA,NA,NA,NA,949866181.2792174,4086480274.730713,18308627580.821068,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,141,NA,NA,NA,NA,7544801.045138762,22893093.81128998,95841511.16654916,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,140,NA,NA,NA,NA,5279988.651999575,14396144.958459066,61242792.57444734,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,141,NA,NA,NA,NA,5279988.651999575,14396144.958459066,61242792.57444734,20,Random
PLS,RMSE,abs_training,Spectra,NA,NA,141,NA,NA,NA,NA,3393459.4426134103,12033896.189988926,53049166.47454338,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,140,NA,NA,NA,NA,2398452.444739689,7555960.08631982,33015841.82571672,20,Random
PLS,RMSE,std_training,Spectra,NA,NA,140,NA,NA,NA,NA,992501.7484987568,3417610.7201751955,14936830.314314522,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,139,NA,NA,NA,NA,50303.29974529518,148245.66337269472,615080.1379701426,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,140,NA,NA,NA,NA,32122.347440790123,96624.33546806805,428198.7394235232,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,139,NA,NA,NA,NA,10317.61068214779,22935.608592465738,82960.71740414828,20,Random
PLS,RMSE,abs_training,Spectra,NA,NA,140,NA,NA,NA,NA,3146.6538484634357,4394.5157942780525,15567.647571840036,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,138,NA,NA,NA,NA,1214.6234411585535,3370.504611467142,13189.262661257575,20,Random
PLS,RMSE,std_training,Spectra,NA,NA,139,NA,NA,NA,NA,1153.6466204000112,1746.766943401241,4892.241835275026,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,138,NA,NA,NA,NA,314.02334985151333,950.5595185463472,4025.274788824272,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,139,NA,NA,NA,NA,120.37884234543473,372.05891914888826,1688.576201084315,20,Random
PLS,RMSE,abs_training,Spectra,NA,NA,139,NA,NA,NA,NA,112.93006884623554,304.6982522309722,1187.5860426815418,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,137,NA,NA,NA,NA,104.17004993192693,371.9347948782498,1662.0568323216546,20,Random
PLS,RMSE,std_training,Spectra,NA,NA,138,NA,NA,NA,NA,22.913855932605212,32.553262178909215,146.4271612495916,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,137,NA,NA,NA,NA,19.319535874297156,58.53939972251336,253.41415242605848,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,136,NA,NA,NA,NA,7.306096618063576,21.190865005659095,81.25669609539733,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,138,NA,NA,NA,NA,3.0221618354304733,4.528899500366562,12.821438116260413,20,Random
PLS,RMSE,abs_training,Spectra,NA,NA,138,NA,NA,NA,NA,2.365582228182102,3.8284855895845995,16.69077732984649,20,Random
PLS,RMSE,std_training,Spectra,NA,NA,137,NA,NA,NA,NA,1.3549728826444383,1.8467152977169485,7.99004391183968,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,136,NA,NA,NA,NA,1.1837159122402872,2.9066154797331936,10.13299722670449,20,Random
PLS,Spearman_R,base_training,Spectra,NA,NA,16,NA,NA,NA,NA,0.7207410039257521,0.06017469822429998,0.22267296471242015,20,Random
