Model,Metric,dataset,Data,Intercept,Mtry,Ncomp,C,Mean_Degree,Mean_Scale,Mean_Sigma,Mean_Performance,Std_Dev_Performance,Range_Performance,N,Splitting
PLS,RMSE,std_training,Spectra,NA,NA,18,NA,NA,NA,NA,0.01904688723517405,0.0013550710896904474,0.004616294302929695,20,Random
PCR,RMSE,sq_training,Spectra,NA,NA,77,NA,NA,NA,NA,0.019036580076095537,0.0016963055324074555,0.006612425265562003,20,Random
PCR,RMSE,base_training,Spectra,NA,NA,88,NA,NA,NA,NA,0.019035296497578853,0.0015028730628843948,0.006004008121017649,20,Random
PCR,RMSE,std_training,Spectra,NA,NA,70,NA,NA,NA,NA,0.01902731972984294,0.001545341317605186,0.004453149529103043,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,5,NA,NA,NA,NA,0.01902682164930723,0.0014872732272493017,0.004589202039034922,20,Random
PCR,RMSE,sq_training,Spectra,NA,NA,76,NA,NA,NA,NA,0.01902558950616704,0.0016777411457107342,0.006480695662748663,20,Random
PCR,RMSE,max_training,Spectra,NA,NA,75,NA,NA,NA,NA,0.019021603406506944,0.0013665956744915034,0.005516485929189761,20,Random
PCR,RMSE,max_training,Spectra,NA,NA,76,NA,NA,NA,NA,0.019019023392708542,0.001393208689606728,0.005581774073233486,20,Random
PCR,RMSE,base_training,Spectra,NA,NA,6,NA,NA,NA,NA,0.019018254411276397,0.001837360348393247,0.006962145880438482,20,Random
SVML,RMSE,std_training,Spectra,NA,NA,NA,22.743000000000002,NA,NA,NA,0.01901187560309027,0.0017909033644641986,0.007046797423491645,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,21,NA,NA,NA,NA,0.01900945915414568,0.0014633472319814953,0.005812250103758633,20,Random
SVML,RMSE,base_training,Spectra,NA,NA,NA,0.252,NA,NA,NA,0.01900258160952959,0.0018262490173840279,0.006412134497781132,20,Random
PCR,RMSE,std_training,Spectra,NA,NA,10,NA,NA,NA,NA,0.01900016047102369,0.0018439835697134004,0.006337678432817014,20,Random
SVMP,RMSE,std_training,Spectra,NA,NA,NA,0.7000000000000001,1.75,0.0955,NA,0.018997906618637716,0.002076197109229031,0.007287555859707636,20,Random
PCR,RMSE,std_training,Spectra,NA,NA,69,NA,NA,NA,NA,0.01899786964263691,0.0015971492638299158,0.004562475023232707,20,Random
SVMP,RMSE,std_training,Spectra,NA,NA,NA,0.5670000000000001,1.75,0.0955,NA,0.018989949785953756,0.00205207318444471,0.007335864750753058,20,Random
SVML,RMSE,max_training,Spectra,NA,NA,NA,0.028,NA,NA,NA,0.0189888462519048,0.0015856009954485235,0.00443024571129106,20,Random
SVMP,RMSE,std_training,Spectra,NA,NA,NA,1.575,1.65,0.064,NA,0.018985037060116172,0.0020127612706650534,0.0078044383108729805,20,Random
PCR,RMSE,std_training,Spectra,NA,NA,11,NA,NA,NA,NA,0.01898451017773587,0.0018904801098324183,0.006529302030334989,20,Random
PCR,RMSE,sq_training,Spectra,NA,NA,75,NA,NA,NA,NA,0.018981666773664183,0.001672265967699024,0.00651915178958213,20,Random
PLS,RMSE,abs_training,Spectra,NA,NA,21,NA,NA,NA,NA,0.018981436757060433,0.0013775331878061671,0.005424227114286587,20,Random
SVML,RMSE,std_training,Spectra,NA,NA,NA,21.952,NA,NA,NA,0.01897700818377336,0.0017851080394067156,0.007006330889316934,20,Random
PCR,RMSE,base_training,Spectra,NA,NA,87,NA,NA,NA,NA,0.01897320396759375,0.0015396405704798312,0.005907613884301962,20,Random
SVMP,RMSE,std_training,Spectra,NA,NA,NA,0.17500000000000002,1.9,0.1,NA,0.018971943916958035,0.001985012527159085,0.009047138923245946,20,Random
SVMP,RMSE,std_training,Spectra,NA,NA,NA,0.252,1.9,0.0955,NA,0.01897192756245515,0.0021323108716411678,0.008008082622741351,20,Random
PCR,RMSE,abs_training,Spectra,NA,NA,88,NA,NA,NA,NA,0.0189712642009046,0.0014346041863038423,0.005799984759978644,20,Random
SVMP,RMSE,std_training,Spectra,NA,NA,NA,1.792,1.65,0.064,NA,0.01896654364031795,0.002016744676571497,0.007854576010154476,20,Random
SVMP,RMSE,std_training,Spectra,NA,NA,NA,0.448,1.8,0.0955,NA,0.018959103526569893,0.002103607985102447,0.007735938994992728,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,19,NA,NA,NA,NA,0.018957224864408692,0.0014502256759947071,0.005524844042349323,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,20,NA,NA,NA,NA,0.018948466204326043,0.0015767798969658,0.005690333158976744,20,Random
PCR,RMSE,max_training,Spectra,NA,NA,74,NA,NA,NA,NA,0.018947047684641317,0.001338129611755301,0.0056238704349177125,20,Random
SVML,RMSE,std_training,Spectra,NA,NA,NA,21.175,NA,NA,NA,0.018939973080602225,0.0017798036804234148,0.0069656802632111214,20,Random
