Model,Metric,dataset,Data,Intercept,Mtry,Ncomp,C,Mean_Degree,Mean_Scale,Mean_Sigma,Mean_Performance,Std_Dev_Performance,Range_Performance,N,Splitting
PLS,RMSE,std_training,Spectra,NA,NA,141,NA,NA,NA,NA,8196882165.335519,4303913924.534117,16326520686.355404,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,141,NA,NA,NA,NA,239916624.24352375,1016466492.3770288,4553049009.829691,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,141,NA,NA,NA,NA,160274291.82762215,359029467.9942241,1165245711.2295756,20,Random
PLS,RMSE,abs_training,Spectra,NA,NA,141,NA,NA,NA,NA,58670557.96936017,259850870.16686937,1162644244.1519248,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,140,NA,NA,NA,NA,12704502.082231486,40063564.51832673,170468896.766586,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,141,NA,NA,NA,NA,12704502.082231486,40063564.51832673,170468896.766586,20,Random
PLS,RMSE,std_training,Spectra,NA,NA,140,NA,NA,NA,NA,1893795.0071474959,5614286.326265995,19995849.375523005,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,140,NA,NA,NA,NA,923808.5145593027,2165657.037620868,7173770.398867503,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,140,NA,NA,NA,NA,129906.12185847205,430924.0485482745,1916175.9718787936,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,139,NA,NA,NA,NA,32672.041804190198,87934.38525327736,390210.16684312123,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,139,NA,NA,NA,NA,24284.1085863014,53857.64749786302,221700.23567219477,20,Random
PLS,RMSE,abs_training,Spectra,NA,NA,140,NA,NA,NA,NA,3840.3777115913513,8380.90355556304,35572.798695332116,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,138,NA,NA,NA,NA,1504.6715292896097,3089.6706351091248,9611.397849557101,20,Random
PLS,RMSE,std_training,Spectra,NA,NA,139,NA,NA,NA,NA,1470.1269897731863,3586.0123028638886,14167.793965810588,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,138,NA,NA,NA,NA,764.754657407073,1889.8593788799471,7387.943804878255,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,139,NA,NA,NA,NA,294.0417390758327,649.4785008603362,2678.0128308990206,20,Random
PLS,RMSE,abs_training,Spectra,NA,NA,139,NA,NA,NA,NA,104.99542713264927,179.54040398851876,644.472974548872,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,137,NA,NA,NA,NA,85.91431614460322,225.0431418229445,948.5261202623335,20,Random
PLS,RMSE,std_training,Spectra,NA,NA,138,NA,NA,NA,NA,62.93149286571233,144.94431614335218,483.64008581696726,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,137,NA,NA,NA,NA,61.730716649873,165.35627355353807,594.9875518519799,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,138,NA,NA,NA,NA,23.123075830920676,57.66728632948628,237.21052383086666,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,136,NA,NA,NA,NA,9.556564231812443,23.396306101972193,83.6277363946794,20,Random
PLS,RMSE,abs_training,Spectra,NA,NA,138,NA,NA,NA,NA,3.4764515204208593,5.794745790445493,18.85462710200609,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,135,NA,NA,NA,NA,1.3650111902863398,3.8475969794469926,15.23661632437254,20,Random
PLS,RMSE,max_training,Spectra,NA,NA,136,NA,NA,NA,NA,1.1445602099270573,2.3819071891498997,9.001447072855482,20,Random
PLS,RMSE,std_training,Spectra,NA,NA,137,NA,NA,NA,NA,1.1332393992526282,2.4878667573455076,8.73865094248704,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,137,NA,NA,NA,NA,0.8023024549165932,1.2698915597089147,3.6213356947613495,20,Random
PLS,Spearman_R,base_training,Spectra,NA,NA,16,NA,NA,NA,NA,0.7595649090731869,0.06433257630128303,0.28031217828983346,20,Random
PLS,Spearman_R,abs_training,Spectra,NA,NA,16,NA,NA,NA,NA,0.7575935296202331,0.05909456851627852,0.2522486405229495,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,80.143,NA,NA,NA,0.7536813358021611,0.06909761795064868,0.308375408008817,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,70,NA,NA,NA,0.7536104842736309,0.06828717300820737,0.2971221636308645,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,100.8,NA,NA,NA,0.7535882576911712,0.07009653897162647,0.32243502415222036,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,71.407,NA,NA,NA,0.7535271296386372,0.06871469720048508,0.3016234425440286,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,87.808,NA,NA,NA,0.7535076790194076,0.06964664200269785,0.31671116102688124,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,86.247,NA,NA,NA,0.7534020936714875,0.06973506300573604,0.3163777258106295,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,78.652,NA,NA,NA,0.7533479117806327,0.06918866643864795,0.30993139578319895,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,95.82300000000001,NA,NA,NA,0.7533326313212495,0.0700242817980638,0.3181004597589825,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,77.175,NA,NA,NA,0.7533215155401588,0.06991070434539906,0.3124598485087987,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,68.607,NA,NA,NA,0.7532576087064128,0.06809612719330875,0.2960662931665662,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,72.828,NA,NA,NA,0.7531603601653588,0.06975979999939569,0.3075695255569969,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,84.7,NA,NA,NA,0.7531436871692665,0.07000134888793641,0.3161554148211151,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,90.97200000000001,NA,NA,NA,0.753096452096333,0.06966093587418294,0.31793371821731053,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,102.48700000000001,NA,NA,NA,0.7530853427618588,0.07055891352856734,0.32382435994271563,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,99.127,NA,NA,NA,0.7530742266333457,0.07004288924784266,0.32054561274233495,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,94.19200000000001,NA,NA,NA,0.7530742261315133,0.07053586239039426,0.3197675895172487,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,81.648,NA,NA,NA,0.7530603309129681,0.06981283720402168,0.3146549602082316,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,75.712,NA,NA,NA,0.7530603303725332,0.06884317468106606,0.30634700465291165,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,97.468,NA,NA,NA,0.753047830161257,0.06994359225502095,0.3205733785510342,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,105.903,NA,NA,NA,0.7529728092449299,0.07008617926910742,0.3251024904412366,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,83.167,NA,NA,NA,0.7528908373802147,0.06957816046860567,0.311153979223324,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,74.263,NA,NA,NA,0.7528825061321076,0.06969041982428163,0.3097368351613863,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,104.188,NA,NA,NA,0.7528491659302969,0.07111165492339294,0.32893688888524886,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,107.632,NA,NA,NA,0.7527935955945971,0.0702762909717441,0.32654734086403325,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,109.375,NA,NA,NA,0.7527394113103877,0.071162688387889,0.32671404920756064,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,67.228,NA,NA,NA,0.7527074555773651,0.06778331147055194,0.2960662931665662,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,92.575,NA,NA,NA,0.7526768917634118,0.07006793514197328,0.3174335924146785,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,89.383,NA,NA,NA,0.7526657781440608,0.07131865763207279,0.3257136817948154,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,65.863,NA,NA,NA,0.7524657222256463,0.06774725896148072,0.2978445741733152,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,111.132,NA,NA,NA,0.7524073729929269,0.07023290357585882,0.326547341636083,20,Random
PCR,Spearman_R,abs_training,Spectra,NA,NA,28,NA,NA,NA,NA,0.75217813715031,0.05957375885507531,0.24846959998511386,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,64.512,NA,NA,NA,0.7520961730060935,0.06755752639379181,0.2958995794186897,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,116.48700000000001,NA,NA,NA,0.7520628358924824,0.07153428335016776,0.33043735121863105,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,121.968,NA,NA,NA,0.752043386855955,0.07146509899198847,0.3325490813385298,20,Random
PLS,Spearman_R,sq_training,Spectra,NA,NA,16,NA,NA,NA,NA,0.7519266749568484,0.062363586765855045,0.2672805672075955,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,63.175000000000004,NA,NA,NA,0.751859996907979,0.06758553611266116,0.29528829773527554,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,118.3,NA,NA,NA,0.751759975221677,0.07065925478200152,0.32849236881680355,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,112.903,NA,NA,NA,0.7517280184463871,0.07099120960132509,0.3262972617496699,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,54.208,NA,NA,NA,0.7515640805459332,0.06631362751038937,0.28834186661080896,20,Random
PCR,Spearman_R,abs_training,Spectra,NA,NA,29,NA,NA,NA,NA,0.7515640777665537,0.059359377476574125,0.24241235337086486,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,55.447,NA,NA,NA,0.7515196243700193,0.067230305643853,0.2908425705128067,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,120.12700000000001,NA,NA,NA,0.7514473869830112,0.0722395351054601,0.32815896293844704,20,Random
SVML,Spearman_R,abs_training,Spectra,NA,NA,NA,139.167,NA,NA,NA,0.7514057078511972,0.07471957737014297,0.34519153180259854,20,Random
