Model,Metric,Data,Intercept,Mtry,CP,K,C,Mean_Degree,Mean_Scale,Mean_Sigma,Mean_Performance,Std_Dev_Performance,Range_Performance,N,Splitting
CART,RMSE,Macro,NA,NA,0.1,NA,NA,NA,NA,NA,0.027324419705679538,0.0023744624628011563,0.012601459342300378,100,Random
KNN,RMSE,Macro,NA,NA,NA,5,NA,NA,NA,NA,0.026996122853999983,0.002325769933474203,0.01073292992801195,100,Random
CART,RMSE,Macro,NA,NA,0.08,NA,NA,NA,NA,NA,0.02693300723689743,0.0022920999924804556,0.010931172478438972,100,Random
CART,RMSE,Macro,NA,NA,0.02,NA,NA,NA,NA,NA,0.026747262621846696,0.002401261152950223,0.012604411227953225,100,Random
CART,RMSE,Macro,NA,NA,0.04,NA,NA,NA,NA,NA,0.02663327434166284,0.0019088089519642493,0.008859896249271172,100,Random
CART,RMSE,Macro,NA,NA,0.06,NA,NA,NA,NA,NA,0.02650248564559596,0.0023020417791645067,0.012361692879938515,100,Random
RF,RMSE,Macro,NA,5,NA,NA,NA,NA,NA,NA,0.02549553002628854,0.002172485731886423,0.010706891586888062,100,Random
RF,RMSE,Macro,NA,4,NA,NA,NA,NA,NA,NA,0.025268168864809086,0.002263318409965892,0.010013009301537337,100,Random
RF,RMSE,Macro,NA,2,NA,NA,NA,NA,NA,NA,0.025111017626103096,0.002076620866162081,0.010174951519150564,100,Random
RF,RMSE,Macro,NA,1,NA,NA,NA,NA,NA,NA,0.025071292598715884,0.0024033666382414303,0.011917775276799606,100,Random
RF,RMSE,Macro,NA,3,NA,NA,NA,NA,NA,NA,0.025035434806319094,0.0023003333257647037,0.012987857736500418,100,Random
SVMR,RMSE,Macro,NA,NA,NA,NA,1,NA,NA,0.0181,0.024170472984886816,0.002273708094462288,0.01124348448726397,100,Random
LM,RMSE,Macro,0.2,NA,NA,NA,NA,NA,NA,NA,0.024005632508362934,0.0018515800770564862,0.010184081309122059,100,Random
SVML,RMSE,Macro,NA,NA,NA,NA,5,NA,NA,NA,0.023973182245592344,0.0018413816212863475,0.009439806846979988,100,Random
SVMP,RMSE,Macro,NA,NA,NA,NA,1,2.55,0.0613,NA,0.023972532092789583,0.002243116702284008,0.010927045452733777,100,Random
SVMR,RMSE,Macro,NA,NA,NA,NA,2,NA,NA,0.012700000000000001,0.023903893401048096,0.0017460355573506322,0.008125127449002852,100,Random
SVMP,RMSE,Macro,NA,NA,NA,NA,2,2.73,0.028,NA,0.0239030232194461,0.0016558173460041372,0.007966314020895624,100,Random
LM,RMSE,Macro,0.5,NA,NA,NA,NA,NA,NA,NA,0.02388160784718095,0.0018502674023493323,0.009127764348434875,100,Random
LM,RMSE,Macro,0.3333333333333333,NA,NA,NA,NA,NA,NA,NA,0.023855870594550552,0.002215292126192781,0.013780743649239424,100,Random
LM,RMSE,Macro,0.25,NA,NA,NA,NA,NA,NA,NA,0.023844693343160837,0.0019571829702320067,0.008127210266242538,100,Random
SVML,RMSE,Macro,NA,NA,NA,NA,2,NA,NA,NA,0.023837162747463274,0.0017958923851293218,0.00847485968642855,100,Random
SVML,RMSE,Macro,NA,NA,NA,NA,3,NA,NA,NA,0.023826454987676257,0.0021537534761248106,0.01335480984433646,100,Random
SVML,RMSE,Macro,NA,NA,NA,NA,4,NA,NA,NA,0.023824475281237323,0.001957513032062267,0.007979266557493071,100,Random
SVMP,RMSE,Macro,NA,NA,NA,NA,5,2.6,0.0181,NA,0.02375963013028148,0.0018272544886866005,0.008464942686054543,100,Random
SVMP,RMSE,Macro,NA,NA,NA,NA,4,2.75,0.019,NA,0.023702971068566506,0.0020035855059957657,0.009650380249983662,100,Random
LM,RMSE,Macro,1,NA,NA,NA,NA,NA,NA,NA,0.023701784194618675,0.0023343965764250395,0.011924154707472844,100,Random
SVMR,RMSE,Macro,NA,NA,NA,NA,4,NA,NA,0.013600000000000001,0.023686818590120826,0.0019517086234141084,0.008997062876902266,100,Random
SVML,RMSE,Macro,NA,NA,NA,NA,1,NA,NA,NA,0.023670019652612586,0.0022912481206036,0.01119633333702032,100,Random
SVMP,RMSE,Macro,NA,NA,NA,NA,3,2.73,0.019,NA,0.02365307999603844,0.0021100508975105386,0.012350794632751017,100,Random
SVMR,RMSE,Macro,NA,NA,NA,NA,5,NA,NA,0.0109,0.023636399833561524,0.0019128159960216053,0.009515952599282354,100,Random
SVMR,RMSE,Macro,NA,NA,NA,NA,3,NA,NA,0.01,0.02360632484689986,0.0021187189729956354,0.012790224554978358,100,Random
CART,Spearman_R,Macro,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,100,Random
