taxa,BLUPs_2
1538,1.0499644875605916
2369,-3.5421402252565817
29MIBZ2,1.0806925534343403
2FACC,-1.4793532702882541
2FADB,0.5252428569430115
2MA22,-0.7266398650336455
2MCDB,0.28546352165765926
33-16,-0.2668754824218967
3IJI1,2.4355813959829598
4226,-0.6727777213565704
4F-234-BX-4,-4.541066999033415
4F-306-108,-3.54507606978481
4F-35-BK,-0.6442859299833481
6F629,-0.5591589762922246
6M502,1.7225858930120104
6M502A,1.687418967204355
764,-2.9386852825907854
78551S,4.741016887102485
790,1.6139423250248128
792,-0.4104413915236092
793,1.4493731775815772
87916W,-3.1811215777021897
911,-0.5393818225610165
912,-0.5961108818859618
91IFC2,0.45933134208895793
A,1.2188079151986069
A208,2.2349449098591156
A239,-1.7117733665477608
A258,-0.2545010781336188
A305,5.393163228104391
A321,2.9420927408833637
A322,-1.2821672915447666
A334,-0.6807345909946401
A340,1.4343800668009374
A374,-0.5934668737549916
A385,-0.16353086913393677
A401,3.6588409778119444
A427,3.5971206046174666
A548,3.2128262260225497
A572,0.7130869623043038
A619,3.2571582572041
A627,0.6772090315827497
A632,0.7531634008467002
A634,-0.7280215683277445
A635,2.1848756883292793
A641,-0.5625481724739528
A648,-2.7898758085084
A649,1.7408200504808813
A659,0.29678299768416216
A663,0.9884251009626985
A672,4.035625242549818
A674,-1.5002721012862177
A679,-0.7510214931915161
A680,-0.1013485959460896
A682,-0.6737327184024032
A71,4.307627485630362
A73,0.6302035631514733
A797NW,-0.13812797350551706
AQA3,2.1645435163707916
AS6103,-1.7155302469619496
AusTRCF-306238,0.4354054648690823
B-18,-1.6834351000447427
B-28,-3.794580655860382
B104,-0.2728584036831302
B105,3.3471818919923244
B107,0.41557272817096685
B108,-1.6530002158035428
B109,-2.7976490596318127
B110,1.7713482207872764
B111,0.5162155769903499
B115,1.7112165388113934
B119,0.7402464644424175
B120,-2.453970455382805
B121,-1.8429751905582354
B14,-0.24256730937793836
B164,-0.9017439996329276
B2,1.6492346028295584
B37,-2.2020869476673113
B46,-1.3122377773205849
B57,0.5997573963020676
B65,-0.48490270897029863
B66,0.4885098272560744
B68,2.2504390826611944
B70,0.730436021005278
B75,-2.468599310320841
B76,0.06871067345842374
B77,1.6135547991820325
B79,0.9732123284656724
B84,-0.8812760465051305
B85,-2.057665398555135
B87,1.7656901831834784
B88,-0.7651809034813962
B97,-0.990009378325727
B98,-1.3261477661118621
BEI-10,0.7234317266520766
C103,-1.5770523359159896
C123,-0.4722925922967643
CH157,4.51110026703122
CH701-30,-1.7690227277529236
CH711-10,-1.455154956136552
CH753-4,-0.5943825078059821
CI-40H,4.868963347634574
CM105,-2.346242878433643
CO257,-0.715015136799693
CO258,-1.7119143869260527
CQ702RC,2.9170897051659304
CR-22,1.606670837080807
CR14,-1.5763575740233857
CS405,0.4518371357805908
