Sample_ID,Genotype,SourceID,Start.Weight,Start.Moisture,Cook.Date,HotPlate.ID,Hotplate.Pos,Cook.Time.Start,Bath.Start.Time,Steep.End.Date,Bath.End.Time,PH,Oven.ID,Tray.Empty.DML.1,Tray.Empty.DML.2,Tray.Empty.DML.3,Y.Kernel.Wet.Weight,Y.Kernel.Wet.With.Tray,Z.Kernel.Wet.Weight,Z.Kernel.Wet.With.Tray,Date.Tray.Dry,Tray.Dry.1,Tray.Dry.2,Tray.Dry.3,Date.Kernel.Dry,Y.Kernel.Tray.Dry.Weight,Z.Kernel.Tray.Dry.Weight,DML.Percent,Location,row,Moisture_Uptake,Y.Kernel.Moisture,Z.Kernel.Moisture
YC16:2484,W37A,SP14:10721,100.2,11.4,6-14-2017,B,3,3:46,04:27:00,6-15-2017,8:37,11.96,B,11.9,11.7,12.1,15,16.4,15.2,16.7,6-20-2017,15,14.8,15.6,6-22-2017,10.6,10.8,0.09680638723,UMN,18,0.3874122807017545,0.386666666666667,0.388157894736842
YC16:2248,A305,SP14:10697,100.3,9.8,6-14-2017,B,4,3:46,04:27:00,6-15-2017,8:37,11.98,B,12,11.7,11.7,15.3,16.6,15,16.4,6-20-2017,14.4,15.2,14.3,6-22-2017,10.2,10,0.08474576271,UMN,19,0.42248366013071903,0.418300653594771,0.426666666666667
YC16:2029,A374,SP14:10725,100.1,11.9,6-15-2017,A,1,3:19,03:42:00,6-16-2017,8:36,11.97,A,11.2,11.5,11.1,15.1,16.3,15.2,16.5,6-21-2017,14.4,13.7,13.2,6-23-2017,10.2,10.4,0.07492507493,UMN,20,0.4026446497037295,0.403973509933775,0.401315789473684
YC16:2190,R181B,SP14:10799,100.2,11.2,6-15-2017,A,2,3:19,03:42:00,6-16-2017,8:36,11.89,A,11.5,11.4,11.4,15.1,16.4,15.2,16.4,6-21-2017,13.2,16.2,13,6-23-2017,10,10.1,0.08083832335,UMN,21,0.41915737190658753,0.423841059602649,0.414473684210526
YC16:1224,Va99,SP14:10932,100.3,11.9,6-15-2017,A,3,3:19,03:42:00,6-16-2017,8:36,11.87,A,11.7,11.4,11.3,15.2,16.5,15.3,16.6,6-21-2017,14,15.4,13.2,6-23-2017,10.4,10.5,0.08175473579,UMN,22,0.4000042999656,0.401315789473684,0.398692810457516
YC16:1056,CH753-4,SP14:10729,100.2,10.9,6-15-2017,B,1,3:43,04:28:00,6-16-2017,8:36,11.91,A,11.7,11.7,11.7,15,16.1,15,16.1,6-21-2017,16.7,14.2,14.4,6-23-2017,9.8,9.9,0.1017964072,UMN,24,0.4166666666666665,0.42,0.413333333333333
YC16:1220,CH9,SP14:10618,100.1,11.7,6-15-2017,B,2,3:43,04:28:00,6-16-2017,8:36,11.91,A,11.5,11.7,11.6,15.1,16.3,15.1,16.4,6-21-2017,11.5,14.3,14,6-23-2017,10.4,10.4,0.04995004995,UMN,25,0.3940397350993375,0.390728476821192,0.397350993377483
YC16:2412,A,SP14:11012,100,11.2,6-15-2017,B,3,3:43,04:28:00,6-16-2017,8:36,11.9,A,11.5,11.9,11.6,15.2,16.5,15,16.3,6-21-2017,16.9,12.9,13.3,6-23-2017,10.1,9.9,0.081,UMN,26,0.42385964912280705,0.421052631578947,0.426666666666667
YC16:2159,A632,SP14:10779,100,12.6,6-15-2017,B,4,3:43,04:28:00,6-16-2017,8:36,11.96,A,11.7,12,11.8,15.1,16.4,15,15.7,6-21-2017,17.5,13.4,13.8,6-23-2017,10.2,9.8,0.092,UMN,27,0.4019646799116995,0.410596026490066,0.393333333333333
YC16:2194,L 135,SP14:11262,100.1,10.7,6-19-2017,A,2,3:15,03:35:00,6-20-2017,8:49,11.96,B,11.5,11.3,11.3,15,16.2,15.1,16.3,6-22-2017,16.2,13.1,13.7,6-27-2017,9.8,9.9,0.08891108891,UMN,29,0.425253863134658,0.426666666666667,0.423841059602649
YC16:1173,CI 40H,SP14:11204,100,11.6,6-19-2017,A,3,3:15,03:35:00,6-20-2017,8:49,11.98,B,11.2,11.3,11.3,15,16.1,15.1,16.5,6-22-2017,13,16.7,13.3,6-27-2017,9.4,9.6,0.092,UMN,30,0.45181015452538653,0.446666666666667,0.456953642384106
YC16:2512,LH128,SP14:11268,100.2,12.3,6-19-2017,A,4,3:15,03:35:00,6-20-2017,8:49,11.85,B,11.2,11.4,11.2,15.2,16.3,15,16.3,6-22-2017,17.7,13.5,13.5,6-27-2017,10.1,10.1,0.1087824351,UMN,31,0.410614035087719,0.407894736842105,0.413333333333333
YC16:1022,ND265,SP14:10661,100.4,11,6-19-2017,B,1,3:41,04:35:00,6-20-2017,8:49,11.91,B,11.3,11.6,11.3,15.2,16.4,15.2,16.5,6-22-2017,13.5,16,12.9,6-27-2017,10,10.1,0.08167330677,UMN,32,0.421052631578947,0.421052631578947,0.421052631578947
YC16:1220,CH9,SP14:10618,100.1,11.7,6-19-2017,B,2,3:41,04:35:00,6-20-2017,8:49,11.89,B,11.4,11.3,11.4,15.2,16.4,15.1,16.4,6-22-2017,14,13.4,16.4,6-27-2017,10.2,10.3,0.0969030969,UMN,33,0.40593412338794,0.407894736842105,0.403973509933775
YC16:2462,87916W,SP14:11129,100.3,12.1,6-19-2017,B,3,3:41,04:35:00,6-20-2017,8:49,11.91,B,11.2,11.5,11.3,15.1,16.3,15.1,16.3,6-22-2017,13.9,16,13.4,6-27-2017,10.4,10.4,0.0927218345,UMN,34,0.390728476821192,0.390728476821192,0.390728476821192
YC16:1340,W810G,SP14:11447,100.2,12.2,6-19-2017,B,4,3:41,04:35:00,6-20-2017,8:49,11.9,B,11.2,11.2,11.3,15.2,16.4,15,16.3,6-22-2017,14.1,16.2,13.4,6-27-2017,10.4,10.3,0.0998003992,UMN,35,0.3973684210526315,0.394736842105263,0.4
YC16:1074,PHG80,SP14:10824,100.1,11.8,6-20-2017,A,1,3:11,03:34:00,6-21-2017,8:35,11.99,A,11.8,11.4,11.5,15.3,16.5,15,16.2,6-23-2017,13.6,16.9,13.4,6-28-2017,10,10,0.09190809191,UMN,36,0.419084967320261,0.424836601307189,0.413333333333333
YC16:1406,MS221,SP14:10903,100.1,11.5,6-20-2017,A,2,3:11,03:34:00,6-21-2017,8:35,11.95,A,11.9,11.4,11.7,15.1,16.5,15.1,16.4,6-23-2017,13.5,16.7,13.7,6-28-2017,9.8,9.6,0.08891108891,UMN,37,0.447019867549669,0.443708609271523,0.450331125827815
YC16:1246,PHW80,SP14:11425,100,11.1,6-20-2017,A,3,3:11,03:34:00,6-21-2017,8:35,11.93,A,11.7,11.3,11.4,15.1,16.4,15.1,16.3,6-23-2017,14.2,16.1,13.6,6-28-2017,10.7,10.7,0.095,UMN,38,0.3741721854304635,0.377483443708609,0.370860927152318
YC16:2223,MS200,SP14:10745,100,11.9,6-20-2017,A,4,3:11,03:34:00,6-21-2017,8:35,11.84,A,11.5,11.7,11.6,15.1,16.4,15.1,16.6,6-23-2017,14.5,13.8,16.1,6-28-2017,9.9,10,0.096,UMN,39,0.433774834437086,0.43046357615894,0.437086092715232
YC16:2271,LH192,SP14:11283,100.1,12.6,6-20-2017,B,1,3:36,04:23:00,6-21-2017,8:35,11.86,A,11.7,11.5,11.5,15,16.2,15,16.1,6-23-2017,16.9,13.5,13.8,6-28-2017,10.1,10.1,0.09490509491,UMN,40,0.40333333333333354,0.406666666666667,0.4
YC16:2467,PHP85,SP14:11392,100,11.7,6-20-2017,B,2,3:36,04:23:00,6-21-2017,8:35,11.87,A,11.8,11.6,11.5,15,16.2,15.1,16.2,6-23-2017,18.1,13.8,14.4,6-28-2017,10.2,10.3,0.114,UMN,41,0.395364238410596,0.4,0.390728476821192
YC16:2449,Os426,SP14:10812,100,9,6-20-2017,B,3,3:36,04:23:00,6-21-2017,8:35,11.92,A,11.4,11.4,11.5,15,16.3,15,16.3,6-23-2017,16.4,13.2,12.9,6-28-2017,9.2,9,0.082,UMN,42,0.48,0.473333333333333,0.486666666666667
YC16:2449,Os426,SP14:10812,100.2,9.2,6-20-2017,B,4,3:36,04:23:00,6-21-2017,8:35,11.95,A,11.3,11.2,11.6,15.1,16.4,15,16.2,6-23-2017,16.5,13,13.2,6-28-2017,9.1,9,0.08582834331,UMN,43,0.4817218543046355,0.483443708609271,0.48
YC16:2227,R113,SP14:10796,100.3,9,6-21-2017,A,1,3:27,03:50:00,6-22-2017,8:40,11.88,B,11.3,11.4,11.6,15.1,16.3,15.2,16.5,6-27-2017,13.4,17.4,13.5,6-29-2017,9.1,9.3,0.09970089731,UMN,44,0.475252701289648,0.47682119205298,0.473684210526316
YC16:1021,CR1HT,SP14:10710,100.2,9.9,6-21-2017,A,2,3:27,03:50:00,6-22-2017,8:40,11.98,B,11.2,11.6,11.2,15.3,16.5,15.3,16.6,6-27-2017,13.1,14.9,13.4,6-29-2017,9.6,9.9,0.07385229541,UMN,45,0.4444444444444445,0.450980392156863,0.437908496732026
YC16:2327,N217,SP14:11088,100,11.3,6-21-2017,A,3,3:27,03:50:00,6-22-2017,8:40,11.95,B,10.1,11,10.9,15.1,16.3,15,16.2,6-27-2017,12.6,16.5,12.9,6-29-2017,10.4,10.1,0.1,UMN,46,0.3986975717439295,0.390728476821192,0.406666666666667
YC16:2156,B87,SP14:10804,100,12.2,6-21-2017,A,4,3:27,03:50:00,6-22-2017,8:40,11.96,B,11.1,11.1,10.9,15.1,16.2,15.2,16.6,6-27-2017,15.7,12.4,12.8,6-29-2017,9.8,9.9,0.078,UMN,47,0.43231526664343,0.423841059602649,0.440789473684211
YC16:1309,LH59,SP14:10869,100.1,11.9,6-22-2017,A,1,3:23,03:43:00,6-23-2017,8:39,11.89,A,11.2,11,11.3,15.2,16.4,15,16.3,6-28-2017,13.8,14.7,13.4,6-30-2017,9.8,9.8,0.08391608392,UMN,48,0.43377192982456103,0.434210526315789,0.433333333333333
YC16:2467,PHP85,SP14:11392,100.1,11.7,6-22-2017,A,2,3:23,03:43:00,6-23-2017,8:39,11.87,A,11.2,10.8,11.2,15.3,16.5,15.2,16.5,6-28-2017,13.1,13,11.4,6-30-2017,10.5,10.7,0.04295704296,UMN,49,0.3868679050567595,0.392156862745098,0.381578947368421
YC16:2455,LH197,SP14:11287,100,12.5,6-22-2017,A,4,3:23,03:43:00,6-23-2017,8:39,11.92,A,11.1,11,10.7,15.4,16.5,15.2,16.5,6-28-2017,13.7,16.4,12.7,6-30-2017,10.5,10.5,0.1,UMN,51,0.3921736158578265,0.38961038961039,0.394736842105263
YC16:2327,N217,SP14:11088,100,11.1,6-26-2017,A,1,3:26,03:55:00,6-27-2017,8:28,11.8,B,11.6,11.5,11.1,15.1,16.3,15,16.2,6-29-2017,13.5,17.5,13.7,7-6-2017,10.1,10,0.105,UMN,52,0.4119646799116995,0.410596026490066,0.413333333333333
YC16:2501,Va26,SP14:10852,100.1,10.9,6-26-2017,A,2,3:26,03:55:00,6-27-2017,8:28,11.84,B,11.8,12.1,11.7,15.1,16.3,15,16.1,6-29-2017,14.4,17.9,13.5,7-6-2017,9.7,9.5,0.1018981019,UMN,53,0.438543046357616,0.437086092715232,0.44
YC16:2270,H84,SP14:10965,100.2,11.7,6-26-2017,A,3,3:26,03:55:00,6-27-2017,8:28,11.83,B,11.4,11.7,11.2,15.1,16.4,15,16.2,6-29-2017,14.2,15.9,14.6,7-6-2017,10,9.9,0.1037924152,UMN,54,0.4219205298013245,0.423841059602649,0.42
YC16:1188,PHJ90,SP14:11367,100,11.8,6-26-2017,A,4,3:26,03:55:00,6-27-2017,8:28,11.88,B,11.3,12,11.4,15,16.3,15.1,16.4,6-29-2017,15,15.1,14.3,7-6-2017,10,9.9,0.097,UMN,55,0.42523178807947,0.42,0.43046357615894
YC16:1408,H84,SP14:10965,100.2,11,6-27-2017,A,2,3:39,04:03:00,6-28-2017,8:40,11.81,A,11.1,11.7,11.5,15.2,16.4,15.1,16.3,6-30-2017,14.1,15.1,15,7-6-2017,10.1,10,0.09880239521,UMN,57,0.41584611362844204,0.414473684210526,0.417218543046358
YC16:2045,A73,SP14:10901,100,11.1,6-27-2017,A,3,3:39,04:03:00,6-28-2017,8:40,11.93,A,11.4,11.5,11.4,15.2,16.6,15.2,16.6,6-30-2017,16.6,12.9,13.6,7-6-2017,10.2,10.1,0.088,UMN,58,0.4243421052631585,0.421052631578948,0.427631578947369
YC16:2314,DK78371A,SP14:10839,100.1,12.2,6-27-2017,A,4,3:39,04:03:00,6-28-2017,8:40,11.92,A,11.4,11.3,11.1,15.4,16.8,15.1,16.5,6-30-2017,14,15.7,13.3,7-6-2017,10.8,10.5,0.09190809191,UMN,59,0.3934806914939365,0.38961038961039,0.397350993377483
YC16:1469,NKS8326,SP14:10834,100,11.7,6-28-2017,A,2,3:32,04:01:00,6-29-2017,8:32,11.89,B,11.1,11.4,11.2,15.1,16.4,15,16.3,07-06-2017,13.8,13.3,16.2,7-6-2017,9.7,9.8,0.096,UMN,61,0.438520971302428,0.443708609271523,0.433333333333333
